Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Molex_53398-0471","Molex_53398-0471_1x04_P1.25mm_PRELIMINARY",105.000000,-150.000000,0.000000,bottom
"SC1","TJ3xSCA-4080_Type32","TJ3xSCA_4080_CIC",105.000000,-84.425000,0.000000,top
"SC2","TJ3xSCA-4080_Type32","TJ3xSCA_4080_CIC",105.000000,-125.575000,180.000000,top
