"Reference","Value","Footprint","Quantity"
"J1","Molex_53398-0471","ICARUS_Connector:Molex_53398-0471_1x04_P1.25mm_PRELIMINARY","1"
"SC1,SC2","TJ3xSCA-4080_Type32","ICARUS_Solar:TJ3xSCA_4080_CIC","2"
